target_chr	target_start	target_end	bait_chr	bait_start	bait_end	bait_name	score	tissue	promoter_chr	promoter_start	promoter_end	gene	overlapping_bp
chr1	6440004	6444405	chr1	6727885	6731233	hs698	6.29	MB	chr1	6440976	6441777	Gm19026	801
chr1	6440004	6444405	chr1	6727885	6731233	hs698	6.56	NT	chr1	6440976	6441777	Gm19026	801
chr1	9602232	9607418	chr1	9646793	9651505	mm1546	5.46	NT	chr1	9600975	9602776	Vxn	544
chr1	10004014	10012259	chr1	9646793	9651505	mm1546	5.11	TK	chr1	10008575	10009776	Ppp1r42	1201
chr1	10004014	10012259	chr1	9646793	9651505	mm1546	5.71	FL	chr1	10008575	10009776	Ppp1r42	1201
chr1	19205924	19210515	chr1	19105201	19109426	hs865	5.31	MB	chr1	19207176	19207977	Tfap2b	801
chr1	19205924	19210515	chr1	19105201	19109426	hs865	5.31	MB	chr1	19208776	19218777	Tfap2b	1739
chr1	19205924	19210515	chr1	19698787	19701411	hs217	5.29	CF	chr1	19207176	19207977	Tfap2b	801
chr1	19205924	19210515	chr1	19698787	19701411	hs217	5.29	CF	chr1	19208776	19218777	Tfap2b	1739
chr1	19213057	19216566	chr1	19105201	19109426	hs865	5.45	MB	chr1	19208776	19218777	Tfap2b	3509
chr1	21079629	21082872	chr1	20919229	20923486	hs2064	5.4	MB	chr1	21075576	21079977	Tram2	348
chr1	21217138	21222299	chr1	20919229	20923486	hs2064	5.11	MB	chr1	21218177	21219577	Tmem14a	1400
chr1	21238948	21242507	chr1	20919229	20923486	hs2064	5.55	FL	chr1	21240576	21242177	Gsta3	1601
chr1	38988181	38995307	chr1	39440730	39445432	hs1933	5.45	TK	chr1	38986919	38989320	Pdcl3	1139
chr1	38988181	38995307	chr1	39440730	39445432	hs1933	5.97	HR	chr1	38986919	38989320	Pdcl3	1139
chr1	38988181	38995307	chr1	39440730	39445432	hs1933	7.27	NT	chr1	38986919	38989320	Pdcl3	1139
chr1	38988181	38995307	chr1	39945175	39950907	mm1333	5.14	NT	chr1	38986919	38989320	Pdcl3	1139
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.26	TK	chr1	39534919	39537120	Cnot11	571
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.2	FL	chr1	39534919	39537120	Cnot11	571
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.59	NT	chr1	39534919	39537120	Cnot11	571
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	5.63	HR	chr1	39534919	39537120	Cnot11	571
chr1	39536549	39541226	chr1	39945175	39950907	mm1333	6.7	HB	chr1	39534919	39537120	Cnot11	571
chr1	39646687	39650272	chr1	39945175	39950907	mm1333	5.19	TK	chr1	39649433	39651433	Creg2	839
