target_chr	target_start	target_end	bait_chr	bait_start	bait_end	bait_name	score	tissue	promoter_chr	promoter_start	promoter_end	gene	overlapping_bp
chr1	4811543	4815596	chr1	6727885	6731233	hs698	5.48	NT	chr1	4802177	4814578	Gm37988, Lypla1	3035
chr1	6440004	6444405	chr1	6727885	6731233	hs698	6.29	MB	chr1	6435976	6446777	Gm19026	4401
chr1	6440004	6444405	chr1	6727885	6731233	hs698	6.56	NT	chr1	6435976	6446777	Gm19026	4401
chr1	9602232	9607418	chr1	9646793	9651505	mm1546	5.46	NT	chr1	9595975	9607776	Vxn	5186
chr1	10004014	10012259	chr1	9646793	9651505	mm1546	5.11	TK	chr1	10003575	10014776	Ppp1r42	8245
chr1	10004014	10012259	chr1	9646793	9651505	mm1546	5.71	FL	chr1	10003575	10014776	Ppp1r42	8245
chr1	19205924	19210515	chr1	19105201	19109426	hs865	5.31	MB	chr1	19202176	19212977	Tfap2b	4591
chr1	19205924	19210515	chr1	19105201	19109426	hs865	5.31	MB	chr1	19203776	19223777	Tfap2b	4591
chr1	19205924	19210515	chr1	19698787	19701411	hs217	5.29	CF	chr1	19202176	19212977	Tfap2b	4591
chr1	19205924	19210515	chr1	19698787	19701411	hs217	5.29	CF	chr1	19203776	19223777	Tfap2b	4591
chr1	19213057	19216566	chr1	19105201	19109426	hs865	5.45	MB	chr1	19203776	19223777	Tfap2b	3509
chr1	21079629	21082872	chr1	20919229	20923486	hs2064	5.4	MB	chr1	21070576	21084977	Tram2	3243
chr1	21217138	21222299	chr1	20919229	20923486	hs2064	5.11	MB	chr1	21213177	21224577	Tmem14a	5161
chr1	21222300	21226693	chr1	20919229	20923486	hs2064	5.16	TL	chr1	21213177	21224577	Tmem14a	2277
chr1	21222300	21226693	chr1	20919229	20923486	hs2064	6.42	TK	chr1	21213177	21224577	Tmem14a	2277
chr1	21222300	21226693	chr1	20919229	20923486	hs2064	6.89	MB	chr1	21213177	21224577	Tmem14a	2277
chr1	21238948	21242507	chr1	20919229	20923486	hs2064	5.55	FL	chr1	21235576	21247177	Gsta3	3559
chr1	21242508	21247976	chr1	20919229	20923486	hs2064	5.36	CF	chr1	21235576	21247177	Gsta3	4669
chr1	21242508	21247976	chr1	20919229	20923486	hs2064	6.46	HR	chr1	21235576	21247177	Gsta3	4669
chr1	22318498	22322212	chr1	20919229	20923486	hs2064	9.62	CF	chr1	22310576	22320777	Rims1	2279
chr1	22318498	22322212	chr1	20919229	20923486	hs2064	9.62	CF	chr1	22311176	22321377	Rims1	2879
chr1	38988181	38995307	chr1	39440730	39445432	hs1933	5.45	TK	chr1	38981919	38994320	Pdcl3	6139
chr1	38988181	38995307	chr1	39440730	39445432	hs1933	5.97	HR	chr1	38981919	38994320	Pdcl3	6139
chr1	38988181	38995307	chr1	39440730	39445432	hs1933	7.27	NT	chr1	38981919	38994320	Pdcl3	6139
chr1	38988181	38995307	chr1	39945175	39950907	mm1333	5.14	NT	chr1	38981919	38994320	Pdcl3	6139
